actual_price,discounted_price,discount_percentage,count
"₹2,295",1345.0,41%,1
"₹2,295",1490.0,35%,1
"₹2,299",917.0,60%,1
"₹2,299",949.0,59%,1
"₹2,299",1049.0,54%,1
"₹2,299",1249.0,46%,1
"₹2,299",1260.0,45%,1
"₹2,300",1498.0,35%,1
"₹2,349",1449.0,38%,1
"₹2,360",1999.0,15%,1
"₹2,380",1804.0,24%,1
"₹2,385",949.0,60%,1
"₹2,399",999.0,58%,1
"₹2,399",1529.0,36%,1
"₹2,400",649.0,73%,1
"₹2,400",1099.0,54%,1
"₹2,400",1189.0,50%,1
"₹2,400",1199.0,50%,1
"₹2,400",1745.0,27%,1
"₹2,400",1959.0,18%,1
"₹2,485",1400.0,44%,1
"₹2,490",849.0,66%,1
"₹2,490",999.0,60%,1
"₹2,490",1399.0,44%,1
"₹2,490",1819.0,27%,1
"₹2,495",1299.0,48%,1
"₹2,495",1349.0,46%,1
"₹2,495",1549.0,38%,1
"₹2,495",1624.0,35%,1
"₹2,498",1399.0,44%,1
"₹2,499",549.0,78%,1
"₹2,499",599.0,76%,1
"₹2,499",649.0,74%,1
"₹2,499",900.0,64%,1
"₹2,499",999.0,60%,1
"₹2,499",1149.0,54%,1
"₹2,499",1199.0,52%,1
"₹2,499",1289.0,48%,1
"₹2,499",1299.0,48%,1
"₹2,499",1399.0,44%,1
"₹2,499",1469.0,41%,1
"₹2,499",1484.0,41%,1
"₹2,499",1499.0,40%,1
"₹2,499",1999.0,20%,1
"₹2,499",2099.0,16%,1
"₹2,500",889.0,64%,1
"₹2,500",1290.0,48%,1
"₹2,545",2439.0,4%,1
"₹2,550",1190.0,53%,1
"₹2,590",1928.0,26%,1
"₹2,595",1990.0,23%,1
"₹2,599",1599.0,38%,1
"₹2,599",1799.0,31%,1
"₹2,600",999.0,62%,1
"₹2,660",1399.0,47%,1
"₹2,695",1656.0,39%,1
"₹2,695",2695.0,0%,1
"₹2,699",1889.0,30%,1
"₹2,790",1599.0,43%,1
"₹2,796",1249.0,55%,1
"₹2,799",575.0,79%,1
"₹2,799",599.0,79%,1
"₹2,799",1414.0,49%,1
"₹2,800",1109.0,60%,1
"₹2,800",1649.0,41%,1
"₹2,890",1439.0,50%,1
"₹2,890",1547.0,46%,1
"₹2,895",1995.0,31%,1
"₹2,900",1329.0,54%,1
"₹2,900",1599.0,45%,1
"₹2,911",1799.0,38%,1
"₹2,990",1199.0,60%,1
"₹2,990",1299.0,57%,1
"₹2,990",1598.0,47%,1
"₹2,990",2199.0,26%,1
"₹2,995",1182.0,61%,1
"₹2,995",1625.0,46%,1
"₹2,999",547.0,82%,1
"₹2,999",799.0,73%,1
"₹2,999",998.0,67%,1
"₹2,999",1090.0,64%,1
"₹2,999",1199.0,60%,1
"₹2,999",1299.0,57%,1
"₹2,999",1349.0,55%,1
"₹2,999",1369.0,54%,1
"₹2,999",1399.0,53%,1
"₹2,999",1448.0,52%,1
"₹2,999",1529.0,49%,1
"₹2,999",1565.0,48%,1
"₹2,999",1599.0,47%,1
"₹2,999",1699.0,43%,1
"₹2,999",1990.0,34%,1
"₹2,999",2499.0,17%,1
"₹2,999",2599.0,13%,1
"₹20,000",7390.0,63%,1
"₹20,049",4995.0,75%,1
"₹20,900",15490.0,26%,1
"₹20,990",16499.0,21%,1
"₹20,999",16499.0,21%,1
"₹21,990",17999.0,18%,1
"₹21,999",15999.0,27%,1
₹210,178.0,15%,1
"₹22,990",12499.0,46%,1
₹220,190.0,14%,1
₹225,191.0,15%,1
₹225,225.0,0%,1
"₹23,559",14499.0,38%,1
"₹23,990",15990.0,33%,1
"₹23,999",12609.0,47%,1
₹230,200.0,13%,1
₹230,230.0,0%,1
₹237,217.0,8%,1
₹239,239.0,0%,1
"₹24,500",15999.0,35%,1
"₹24,850",13999.0,44%,1
"₹24,990",18999.0,24%,1
"₹24,999",19999.0,20%,1
₹249,129.0,48%,1
₹249,149.0,40%,1
₹249,219.0,12%,1
"₹25,999",16999.0,35%,1
"₹25,999",18499.0,29%,1
₹250,225.0,10%,1
"₹26,999",20999.0,22%,1
₹260,231.0,11%,1
"₹27,990",9999.0,64%,1
"₹27,990",19999.0,29%,1
"₹28,900",13990.0,52%,1
"₹28,999",22999.0,21%,1
"₹29,999",12000.0,60%,1
"₹29,999",18999.0,37%,1
₹299,39.0,87%,1
₹299,69.0,77%,1
₹299,88.0,71%,1
₹299,139.0,54%,1
₹299,160.0,46%,1
₹299,169.0,43%,1
₹299,179.0,40%,1
₹299,189.0,37%,1
₹299,245.0,18%,1
"₹3,000",1299.0,57%,1
"₹3,045",2199.0,28%,1
"₹3,045",2280.0,25%,1
"₹3,080",2219.0,28%,1
"₹3,098",1563.0,50%,1
"₹3,099",2079.0,33%,1
"₹3,100",1815.0,41%,1
"₹3,100",1990.0,36%,1
"₹3,190",1456.0,54%,1
"₹3,190",2199.0,31%,1
"₹3,193",1699.0,47%,1
"₹3,195",2640.0,17%,1
"₹3,199",2669.0,17%,1
"₹3,210",1999.0,38%,1
"₹3,250",2099.0,35%,1
"₹3,279",2169.0,34%,1
"₹3,290",2320.0,29%,1
"₹3,295",1799.0,45%,1
"₹3,295",2595.0,21%,1
"₹3,295",2903.0,12%,1
"₹3,299",1799.0,45%,1
"₹3,299",2499.0,24%,1
"₹3,300",1982.84,40%,1
"₹3,300",1999.0,39%,1
"₹3,390",2449.0,28%,1
